cod;local;Latitude;Longitude;Cod estacao;Distancia
520017;Agua Fria de Goias;-14,7966040;-47,782781;A024;78
520060;Alto Paraiso de Goias;-14,1346322;-47,515173;A024;1
520400;Cabeceiras;-15,8039274;-46,928447;A544;61
520790;Flores de Goias;-14,4563285;-47,038267;A024;63
520800;Formosa;-15,5404149;-47,335193;A045;31
521760;Planaltina;-15,6231629;-47,655243;A045;4
522000;Sao Joao d'Alianca;-14,7125354;-47,520679;A024;64
522220;Vila Boa;-15,036738;-47,055583;A544;85
520025;Aguas Lindas de Goias;-15,743414;-48,278986;A042;22
520549;Cidade Ocidental;-16,104258;-47,944994;A012;17
520620;Cristalina;-16,771213;-47,614451;A036;1
521250;Luziania;-16,249173;-47,930026;A012;4
521523;Novo Gama;-16,102443;-48,050189;A012;19
521975;Santo Antonio do Descoberto;-15,951713;-48,280129;A046;15
522185;Valparaiso de Goias;-16,07398;-47,987772;A012;20
520530;Cavalcante;-13,797132;-47,457875;A024;38
520080;Alvorada do Norte;-14,483302;-46,493848;A017;45
522068;Simolandia;-14,471669;-46,484395;A017;44
520010;Abadiania;-16,199359;-48,706571;A037;54
520030;Alexania;-16,084892;-48,5024;A046;42
520551;Cocalzinho de Goias;-15,778021;-48,771434;A022;66
500320;Corumba de Goias;-15,926334;-48,809939;A046;72
521730;Pirenopolis;-15,852239;-48,960328;A022;70
290323;Barro Alto;-14,970197;-48,916577;A022;28
520860;Goianesia;-15,325411;-49,119049;A022;18
521305;Mimoso de Goias;-15,057978;-48,160585;A042;60
521560;Padre Bernardo;-15,169341;-48,284143;A042;50
522230;Vila Propicio;-15,457253;-48,885289;A022;28
521460;Niquelandia;-14,465108;-48,457353;A022;101
310450;Arinos;-15,910893;-46,107265;A544;55
310930;Buritis;-15,628494;-46,428695;A544;11
310945;Cabeceira Grande;-16,030238;-47,086549;A047;50
317040;Unai;-16,361378;-46,902856;A542;21
530010;Brasilia;-15,794074;-47,883235;A001;4
