data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2023-12-31,202401,4778.5,2965,9717,1983,1.0,156.40808,0,4,530010820240119740,2024-01-18,0.0,1.5703706,3055149.0,21.375,91.4545975,1,1,2,90.47780375,89.50101125,21.4375,21.5,,,,,,343876
2023-12-24,202352,3412.0,3072,4170,2762,1.0,111.68031,0,4,530010820235219740,2024-01-18,0.0,1.368615,3055149.0,22.25,80.3006755,0,1,2,79.11323625,78.251583,22.53125,22.75,,,,,,343876
2023-12-17,202351,3037.0,2907,3268,2771,1.0,99.40595,0,4,530010820235119740,2024-01-18,0.0,1.5857476,3055149.0,23.0,68.1333115714286,0,1,2,65.8445251428571,63.5557388571429,23.3571428571429,23.7142857142857,,,,,,343876
2023-12-10,202350,2667.5,2601,2780,2528,1.0,87.311615,0,4,530010820235019740,2024-01-18,0.0,1.8666617,3055149.0,23.3888888888889,62.7843095,0,1,2,52.8631001111111,38.8502437222222,25.9027782222222,30.5555555555556,,,,,,343876
2023-12-03,202349,1778.0,1735,1852,1695,1.0,58.196835,0,4,530010820234919740,2024-01-18,0.0,1.6711097,3055149.0,18.7142857142857,87.7224685714286,0,1,2,65.5763457142857,40.3694318571429,23.6817458571429,29.7142857142857,,,,,,343876
2023-11-26,202348,1382.0,1358,1425,1338,1.0,45.23511,0,3,530010820234819740,2024-01-18,0.0,1.7719866,3055149.0,19.5714285714286,90.8571985714286,1,1,2,68.0952208571429,41.0100611428571,24.1011905714286,30.1428571428571,,,,,,343876
2023-11-19,202347,1092.0,1078,1116,1070,1.0,35.74294,0,3,530010820234719740,2024-01-18,0.0,1.8294533,3055149.0,20.4285714285714,91.7267042857143,1,1,1,69.7437978571429,43.2197112857143,24.315476,30.0,,,,,,343876
2023-11-12,202346,676.0,670,691,667,0.99999994,22.126581,0,1,530010820234619740,2024-01-18,0.0,1.3741852,3055149.0,22.7777777777778,72.453616,0,1,1,55.1531758888889,36.1894995,26.2638893333333,30.5,,,,,,343876
2023-11-05,202345,597.0,593,603,593,0.99999654,19.540781,0,1,530010820234519740,2024-01-18,0.0,1.3215798,3055149.0,24.1428571428571,59.406555,0,1,1,55.402875,51.7489038571429,24.8214285714286,25.5714285714286,,,,,,343876
2023-10-29,202344,465.0,464,468,464,0.64813566,15.220207,0,1,530010820234419740,2024-01-18,0.0,1.0254034,3055149.0,22.5714285714286,76.8299397142857,0,0,1,74.9081557142857,72.986375,22.8571428571429,23.1428571428571,,,,,,343876
2023-10-22,202343,395.0,395,395,395,0.013552735,12.928993,0,1,530010820234319740,2024-01-18,0.0,0.85955244,3055149.0,23.625,70.64784975,0,0,1,68.864556875,66.845518,23.84375,24.125,,,,,,343876
2023-10-15,202342,520.0,520,520,520,0.8429396,17.020447,0,1,530010820234219740,2024-01-18,0.0,1.0654515,3055149.0,25.0,50.4539024285714,0,0,1,47.6675038571429,44.5824724285714,25.6071428571429,26.2857142857143,,,,,,343876
2023-10-08,202341,393.0,393,393,393,6.6459847e-06,12.86353,0,1,530010820234119740,2024-01-18,0.0,0.7490794,3055149.0,24.1428571428571,68.0289928571429,0,0,1,65.4778638571429,63.2150002857143,24.5357142857143,24.8571428571429,,,,,,343876
2023-10-01,202340,516.0,516,516,516,0.07864898,16.88952,0,1,530010820234019740,2024-01-18,0.0,0.91746914,3055149.0,23.75,69.19345425,0,0,1,66.60855875,64.023664625,24.3125,24.875,,,,,,343876
2023-09-24,202339,523.0,523,523,523,0.026300685,17.11864,0,1,530010820233919740,2024-01-18,0.0,0.89014137,3055149.0,23.7272727272727,66.4350733636364,0,0,1,56.7536482727273,43.6213007272727,25.3939394545455,27.9090909090909,,,,,,343876
2023-09-17,202338,547.0,547,547,547,0.21677169,17.9042,0,1,530010820233819740,2024-01-18,0.0,0.9542911,3055149.0,24.5714285714286,43.9911928571429,0,0,1,40.9585695714286,38.7778872857143,25.6011905714286,26.5714285714286,,,,,,343876
2023-09-10,202337,648.0,648,648,648,0.998911,21.210094,0,1,530010820233719740,2024-01-18,0.0,1.1947677,3055149.0,17.2857142857143,71.4288895714286,0,1,1,47.7239744285714,30.0772778571429,23.404762,29.1428571428571,,,,,,343876
2023-09-03,202336,565.0,565,565,565,0.89345896,18.49337,0,1,530010820233619740,2024-01-18,0.0,1.0783833,3055149.0,18.8571428571429,74.2545301428571,0,0,1,50.6712978571429,30.0095514285714,24.2023808571429,29.8571428571429,,,,,,343876
2023-08-27,202335,545.0,545,545,545,0.7778685,17.838737,0,1,530010820233519740,2024-01-18,0.0,1.047987,3055149.0,19.0,92.34299,1,0,1,71.8088505714286,44.0525872857143,22.9583334285714,28.4285714285714,,,,,,343876
2023-08-20,202334,502.0,502,502,502,0.28442132,16.431276,0,1,530010820233419740,2024-01-18,0.0,0.96499795,3055149.0,16.875,77.421457875,0,0,1,51.082666375,25.825212,23.458333,30.875,,,,,,343876
2023-08-13,202333,547.0,547,547,547,0.74992967,17.9042,0,1,530010820233319740,2024-01-18,0.0,1.0420367,3055149.0,17.0,61.4503328571429,0,0,1,44.9058054285714,30.9160845714286,21.4047617142857,25.7142857142857,,,,,,343876
2023-08-06,202332,488.0,488,488,488,0.0825962,15.973034,0,1,530010820233219740,2024-01-18,0.0,0.91676784,3055149.0,21.8571428571429,38.9092852857143,0,0,1,37.1328168571429,35.2294795714286,22.8095237142857,23.7142857142857,,,,,,343876
2023-07-30,202331,567.0,567,567,567,0.45144594,18.558832,0,1,530010820233119740,2024-01-18,0.0,0.9927955,3055149.0,20.4285714285714,46.0437821428571,0,0,1,43.8288837142857,41.9376985714286,20.904762,21.2857142857143,,,,,,343876
2023-07-23,202330,487.0,487,487,487,2.5973597e-05,15.940303,0,1,530010820233019740,2024-01-18,0.0,0.78356904,3055149.0,19.4285714285714,54.593627,0,0,1,50.4619251428571,47.0681557142857,20.2142857142857,20.8571428571429,,,,,,343876
2023-07-16,202329,560.0,560,560,560,0.0076817814,18.329712,0,1,530010820232919740,2024-01-18,0.0,0.8695153,3055149.0,20.5714285714286,54.3865095714286,0,0,1,51.2960475714286,48.3776414285714,21.3095237142857,22.0,,,,,,343876
2023-07-09,202328,667.0,667,667,667,0.41539502,21.831995,0,1,530010820232819740,2024-01-18,0.0,0.98840415,3055149.0,19.1428571428571,56.7599607142857,0,0,1,53.0187112857143,49.2882338571429,20.0714285714286,21.0,,,,,,343876
2023-07-02,202327,649.0,649,649,649,0.0015588946,21.242826,0,1,530010820232719740,2024-01-18,0.0,0.85410696,3055149.0,16.7142857142857,55.6458987142857,0,0,1,52.0367727142857,48.2889567142857,17.4761905714286,18.2857142857143,,,,,,343876
2023-06-25,202326,613.0,613,613,613,2.3935787e-10,20.064487,0,1,530010820232619740,2024-01-18,0.0,0.7206768,3055149.0,18.5714285714286,57.253633,0,0,1,54.7851431428571,52.1784072857143,19.0476191428571,19.5714285714286,,,,,,343876
2023-06-18,202325,759.0,759,759,759,0.00024548802,24.843306,0,1,530010820232519740,2024-01-18,0.0,0.84250176,3055149.0,18.0,64.0836305714286,0,0,1,60.9203788571429,57.6386442857143,18.7142857142857,19.4285714285714,,,,,,343876
2023-06-11,202324,918.0,918,918,918,0.2448029,30.047634,0,1,530010820232419740,2024-01-18,0.0,0.96852005,3055149.0,20.7142857142857,66.4969484285714,0,0,1,63.926713,61.1503862857143,21.2857142857143,21.8571428571429,,,,,,343876
2023-06-04,202323,874.0,874,874,874,9.0120586e-05,28.607443,0,1,530010820232319740,2024-01-18,0.0,0.84231853,3055149.0,19.5714285714286,59.4515584285714,0,0,1,58.4332071428571,57.2548961428571,19.7619048571429,20.0,,,,,,343876
2023-05-28,202322,958.0,958,958,958,2.5805016e-06,31.3569,0,1,530010820232219740,2024-01-18,0.0,0.82023764,3055149.0,20.3,67.169108,0,0,1,63.6827369,60.2327318,21.1,21.9,,,,,,343876
2023-05-21,202321,955.0,955,955,955,8.035128e-12,31.258705,0,1,530010820232119740,2024-01-18,0.0,0.7505526,3055149.0,14.0,78.9360135,0,0,1,60.0060449,41.7556427,19.1958332,24.4,,,,,,343876
2023-05-14,202320,1256.0,1256,1256,1256,0.075059064,41.110924,0,4,530010820232019740,2024-01-18,0.0,0.9449618,3055149.0,14.8333333333333,78.6741533888889,0,0,2,54.5352862222222,34.0003195555556,20.4537035555556,25.4444444444444,,,,,,343876
2023-05-07,202319,1245.0,1245,1245,1245,0.018448211,40.750877,0,4,530010820231919740,2024-01-18,0.0,0.9213321,3055149.0,19.875,69.332691875,0,0,2,61.188341375,52.937484875,21.7083335,23.75,,,,,,343876
2023-04-30,202318,1426.0,1426,1426,1426,0.6747526,46.6753,0,4,530010820231819740,2024-01-18,0.0,1.0171837,3055149.0,20.2,72.555739,0,0,2,68.7814148,63.9723086,20.9333336,21.8,,,,,,343876
2023-04-23,202317,1273.0,1273,1273,1273,0.0009115376,41.667362,0,4,530010820231719740,2024-01-18,0.0,0.88700384,3055149.0,17.5652173913043,88.9228126086957,1,0,2,71.9095056521739,49.9794486086957,21.5923913913043,26.3913043478261,,,,,,343876
2023-04-16,202316,1409.0,1409,1409,1409,0.38300407,46.118862,0,4,530010820231619740,2024-01-18,0.0,0.98888296,3055149.0,18.4285714285714,91.6000642857143,1,0,2,75.3259434285714,53.8946497142857,22.0952382857143,27.0,,,,,,343876
2023-04-09,202315,1561.0,1561,1561,1561,0.98340106,51.09407,0,4,530010820231519740,2024-01-18,0.0,1.0808148,3055149.0,19.1428571428571,94.0203,1,1,2,77.2057447142857,51.4963784285714,22.4523808571429,27.7142857142857,,,,,,343876
2023-04-02,202314,1300.0,1300,1300,1300,0.0052923025,42.551117,0,4,530010820231419740,2024-01-18,0.0,0.90681005,3055149.0,18.7142857142857,90.7521171428571,1,0,2,75.2732408571429,51.3468842857143,21.660714,26.5714285714286,,,,,,343876
2023-03-26,202313,1505.0,1505,1505,1505,0.99673635,49.2611,0,4,530010820231319740,2024-01-18,0.0,1.1070461,3055149.0,20.8571428571429,72.2697849047619,0,1,2,55.8554788095238,44.1183038571429,24.4166664761905,27.3809523809524,,,,,,343876
2023-03-19,202312,1525.0,1525,1525,1525,0.999996,49.915733,0,4,530010820231219740,2024-01-18,0.0,1.1837556,3055149.0,17.5454545454545,91.3497589090909,1,1,2,71.9430174545455,48.5877656363636,21.8560603636364,27.0,,,,,,343876
2023-03-12,202311,1296.0,1296,1296,1296,0.89408183,42.42019,0,4,530010820231119740,2024-01-18,0.0,1.0509046,3055149.0,21.3,81.283395,0,0,2,81.277472,81.271548,21.35,21.4,,,,,,343876
2023-03-05,202310,1329.0,1329,1329,1329,0.99290776,43.50033,0,4,530010820231019740,2024-01-18,0.0,1.1023815,3055149.0,22.1428571428571,70.8364115714286,0,1,2,68.8942271428571,66.952045,22.3571428571429,22.5714285714286,,,,,,343876
2023-02-26,202309,1206.0,1206,1206,1206,0.37619987,39.474342,0,4,530010820230919740,2024-01-18,0.0,0.9872777,3055149.0,22.0,75.1189728333333,0,0,2,72.9228621666667,70.7267544166667,22.3333333333333,22.6666666666667,,,,,,343876
2023-02-19,202308,1203.0,1203,1203,1203,0.18230934,39.37615,0,1,530010820230819740,2024-01-18,0.0,0.96404004,3055149.0,18.9473684210526,90.1438903157895,1,0,2,73.7145455789474,51.9968642105263,22.1798247368421,27.6842105263158,,,,,,343876
2023-02-12,202307,1173.0,1173,1173,1173,0.27271095,38.3942,0,1,530010820230719740,2024-01-18,0.0,0.9754973,3055149.0,24.5714285714286,59.7649554285714,0,0,1,58.9899425714286,58.2149302857143,24.7142857142857,24.8571428571429,,,,,,343876
2023-02-05,202306,1344.0,1344,1344,1344,0.9999939,43.991306,0,4,530010820230619740,2024-01-18,0.0,1.1928248,3055149.0,23.0,71.7624368571429,0,1,2,69.3454032857143,66.0995661428571,23.4940477142857,24.2857142857143,,,,,,343876
2023-01-29,202305,1250.0,1250,1250,1250,0.9996456,40.914536,0,1,530010820230519740,2024-01-18,0.0,1.150567,3055149.0,21.7142857142857,73.9629072857143,0,1,2,68.9879072857143,61.1977235714286,22.970238,24.4285714285714,,,,,,343876
2023-01-22,202304,1020.0,1020,1020,1020,0.38431358,33.38626,0,1,530010820230419740,2024-01-18,0.0,0.9871026,3055149.0,20.5714285714286,81.7212771428571,0,0,1,81.7212771428571,81.7212771428571,20.5714285714286,20.5714285714286,,,,,,343876
2023-01-15,202303,1183.0,1183,1183,1183,0.99999917,38.721516,0,3,530010820230319740,2024-01-18,0.0,1.2308035,3055149.0,22.1428571428571,69.4868628571429,0,1,1,69.4868628571429,69.4868628571429,22.1428571428571,22.1428571428571,,,,,,343876
2023-01-08,202302,999.0,999,999,999,0.98572356,32.698895,0,2,530010820230219740,2024-01-18,0.0,1.1056577,3055149.0,19.0,90.6840257142857,1,1,1,79.6281335714286,62.9142951428571,21.1190474285714,24.2857142857143,,,,,,343876
2023-01-01,202301,1013.0,1013,1013,1013,0.9817548,33.15714,0,2,530010820230119740,2024-01-18,0.0,1.0998188,3055149.0,19.2857142857143,92.3190262857143,1,1,1,76.6823057142857,56.4081015714286,21.9821425714286,26.0,,,,,,343876
