"data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year"
"2024-02-04,202406,44.0,15,152,7,0.98233163,422.50815,0,1,520060520240619768,2024-02-15,0.0,1.6588155,10414.0,22.3,82.4472402,0,1,2,81.7351194,81.0229992,22.3,22.3,,,,,,102"
"2024-01-28,202405,27.0,24,36,24,0.8411546,259.26636,0,4,520060520240519768,2024-02-15,0.0,1.336146,10414.0,22.4285714285714,80.6155614285714,0,0,2,79.3534528571429,78.0913435714286,22.6428571428571,22.8571428571429,,,,,,102"
"2024-01-21,202404,29.0,29,32,29,0.99312574,278.47128,0,4,520060520240419768,2024-02-15,0.0,2.1762044,10414.0,22.8571428571429,83.437763,0,1,2,82.0772011428571,80.7166408571429,22.9285714285714,23.0,,,,,,102"
"2024-01-14,202403,23.0,23,23,23,0.99377143,220.85654,0,1,520060520240319768,2024-02-15,0.0,2.4908729,10414.0,22.625,75.302707875,0,1,2,72.773421875,70.24414175,23.1875,23.75,,,,,,102"
"2024-01-07,202402,8.0,8,8,8,0.66229516,76.819664,0,1,520060520240219768,2024-02-15,0.0,1.2393209,10414.0,21.7142857142857,87.0944164285714,1,0,1,85.6288407142857,84.1632664285714,21.8571428571429,22.0,,,,,,102"
"2023-12-31,202401,11.0,11,11,11,0.9788965,105.62704,0,1,520060520240119768,2024-02-15,0.0,3.0202928,10414.0,21.375,91.4545975,1,1,1,90.47780375,89.50101125,21.4375,21.5,,,,,,102"
"2024-02-04,202406,549.5,55,5368,4,1.0,932.304,0,3,520620620240619768,2024-02-15,0.0,2.0515022,58940.0,22.3,82.4472402,0,1,2,81.7351194,81.0229992,22.3,22.3,,,,,,671"
"2024-01-28,202405,343.0,173,1670,159,1.0,581.94775,0,4,520620620240519768,2024-02-15,0.0,1.992014,58940.0,22.4285714285714,80.6155614285714,0,1,2,79.3534528571429,78.0913435714286,22.6428571428571,22.8571428571429,,,,,,671"
"2024-01-21,202404,279.5,244,543,241,1.0,474.21106,0,4,520620620240419768,2024-02-15,0.0,2.9166772,58940.0,22.8571428571429,83.437763,0,1,2,82.0772011428571,80.7166408571429,22.9285714285714,23.0,,,,,,671"
"2024-01-14,202403,162.0,153,225,153,1.0,274.85577,0,4,520620620240319768,2024-02-15,0.0,3.518381,58940.0,22.625,75.302707875,0,1,2,72.773421875,70.24414175,23.1875,23.75,,,,,,671"
"2024-01-07,202402,80.0,78,90,78,1.0,135.73125,0,3,520620620240219768,2024-02-15,0.0,4.134293,58940.0,21.7142857142857,87.0944164285714,0,1,2,85.6288407142857,84.1632664285714,21.8571428571429,22.0,,,,,,671"
