cod_estac,"﻿""Data""",Hora (UTC),Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Raj. Vento (m/s),Radiacao (KJ/m²),Chuva (mm)
A001,01/01/2024,0000,"22,0","22,6","21,8","79,0","81,0","77,0","18,2","18,6","18,2","885,7","885,7","885,3","1,5","311,0","2,8",,"0,0"
A001,01/01/2024,0100,"21,2","22,0","21,1","85,0","85,0","79,0","18,6","18,7","18,1","886,7","886,7","885,7","1,5","315,0","2,9",,"0,0"
A001,01/01/2024,0200,"20,9","21,5","20,9","88,0","88,0","85,0","18,8","18,9","18,7","887,1","887,2","886,7","1,1","305,0","3,3",,"0,0"
A001,01/01/2024,0300,"20,9","21,1","20,8","85,0","88,0","85,0","18,3","18,9","18,3","887,1","887,4","887,1","1,5","304,0","3,3",,"0,0"
A001,01/01/2024,0400,"20,5","21,0","20,5","89,0","89,0","85,0","18,6","18,6","18,3","886,4","887,1","886,4","2,0","315,0","4,0",,"0,0"
A001,01/01/2024,0500,"20,4","20,5","20,3","91,0","91,0","89,0","18,9","18,9","18,6","886,1","886,4","886,1","1,5","310,0","4,0",,"0,0"
A001,01/01/2024,0600,"19,6","20,4","19,6","94,0","94,0","91,0","18,7","18,9","18,6","885,5","886,1","885,4","1,1","309,0","3,0",,"0,0"
A001,01/01/2024,0700,"20,0","20,1","19,4","94,0","95,0","94,0","19,0","19,2","18,5","885,2","885,5","885,2","1,4","333,0","2,6",,"0,0"
A001,01/01/2024,0800,"20,1","20,1","19,7","94,0","95,0","94,0","19,1","19,2","18,8","885,5","885,5","885,1","1,2","308,0","2,6",,"0,0"
A001,01/01/2024,0900,"19,6","20,1","19,6","95,0","96,0","94,0","18,8","19,1","18,8","885,7","885,8","885,5","1,1","312,0","2,4","4,30","0,0"
A001,01/01/2024,1000,"20,6","20,6","19,6","91,0","96,0","91,0","19,1","19,2","18,8","886,4","886,4","885,7","1,8","295,0","3,8","310,10","0,0"
A001,01/01/2024,1100,"21,5","21,6","20,5","83,0","91,0","82,0","18,5","19,2","18,4","886,7","886,7","886,4","2,1","297,0","4,9","779,70","0,0"
A001,01/01/2024,1200,"22,6","22,9","21,5","75,0","83,0","75,0","18,0","18,6","17,8","887,2","887,2","886,7","1,8","312,0","5,3","1273,50","0,0"
A001,01/01/2024,1300,"23,3","23,7","22,5","71,0","78,0","69,0","17,7","18,8","17,6","887,4","887,5","887,2","2,2","303,0","5,4","1361,10","0,0"
A001,01/01/2024,1400,"25,3","26,4","23,2","63,0","73,0","58,0","17,7","19,1","16,8","886,6","887,5","886,6","2,3","340,0","6,2","2723,10","0,0"
A001,01/01/2024,1500,"26,3","26,7","24,9","56,0","65,0","55,0","16,9","18,7","16,4","885,7","886,6","885,7","1,7","284,0","5,4","2567,60","0,0"
A001,01/01/2024,1600,"26,2","26,6","25,5","59,0","63,0","53,0","17,7","18,2","16,0","884,7","885,6","884,7","1,6","237,0","5,1","1625,60","0,0"
A001,01/01/2024,1700,"22,1","26,7","22,1","87,0","87,0","55,0","19,8","19,8","16,7","884,3","884,7","884,3","1,5","273,0","5,5","987,30","2,6"
