"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/09/2023";"0000";"23,8";"25,0";"23,8";"66,0";"69,0";"61,0";"17,0";"17,8";"16,8";"943,6";"943,8";"943,2";"1,3";"158,0";"6,0";"";"0,0"
"01/09/2023";"0100";"23,1";"24,0";"23,0";"67,0";"71,0";"64,0";"16,7";"17,6";"16,7";"944,6";"944,6";"943,6";"2,7";"207,0";"4,0";"";"0,0"
"01/09/2023";"0200";"22,8";"23,3";"22,8";"69,0";"69,0";"66,0";"16,7";"16,9";"16,5";"944,4";"944,6";"944,4";"0,7";"243,0";"4,4";"";"0,0"
"01/09/2023";"0300";"21,9";"22,8";"21,8";"73,0";"73,0";"68,0";"16,7";"16,9";"16,4";"944,2";"944,4";"944,2";"0,1";"346,0";"2,0";"";"0,0"
"01/09/2023";"0400";"20,4";"21,8";"20,4";"80,0";"80,0";"73,0";"16,8";"17,0";"16,5";"943,7";"944,2";"943,5";"0,0";"53,0";"1,6";"";"0,0"
"01/09/2023";"0500";"20,6";"21,0";"20,2";"81,0";"81,0";"78,0";"17,1";"17,1";"16,8";"943,7";"943,8";"943,5";"0,6";"31,0";"2,0";"";"0,0"
"01/09/2023";"0600";"19,9";"20,6";"19,7";"84,0";"88,0";"80,0";"17,1";"17,8";"16,8";"943,4";"943,7";"943,4";"0,0";"208,0";"2,0";"";"0,0"
"01/09/2023";"0700";"19,8";"20,3";"19,6";"83,0";"85,0";"81,0";"16,7";"17,3";"16,7";"942,8";"943,4";"942,8";"2,2";"207,0";"2,9";"";"0,0"
"01/09/2023";"0800";"18,8";"20,4";"18,8";"88,0";"88,0";"79,0";"16,9";"16,9";"16,3";"943,1";"943,2";"942,8";"0,0";"86,0";"3,1";"";"0,0"
"01/09/2023";"0900";"18,6";"18,9";"18,3";"90,0";"90,0";"88,0";"16,9";"17,0";"16,5";"943,5";"943,5";"943,1";"0,0";"326,0";"0,0";"";"0,0"
"01/09/2023";"1000";"20,3";"20,3";"18,5";"82,0";"90,0";"82,0";"17,2";"17,2";"16,8";"944,0";"944,0";"943,4";"0,6";"175,0";"1,9";"134,80";"0,0"
"01/09/2023";"1100";"22,9";"22,9";"20,3";"69,0";"82,0";"69,0";"17,0";"17,5";"16,8";"944,7";"944,7";"944,0";"2,9";"169,0";"5,1";"852,40";"0,0"
"01/09/2023";"1200";"24,7";"25,3";"22,8";"62,0";"71,0";"61,0";"17,0";"17,5";"16,9";"945,1";"945,1";"944,7";"3,1";"134,0";"5,7";"1732,00";"0,0"
"01/09/2023";"1300";"27,6";"27,6";"24,7";"56,0";"64,0";"55,0";"17,9";"18,3";"16,8";"945,6";"945,6";"945,1";"1,7";"93,0";"5,4";"2414,50";"0,0"
"01/09/2023";"1400";"28,6";"28,9";"26,9";"53,0";"56,0";"51,0";"18,1";"18,1";"17,0";"944,8";"945,6";"944,8";"2,4";"84,0";"6,4";"2888,00";"0,0"
"01/09/2023";"1500";"30,5";"30,7";"28,5";"45,0";"53,0";"45,0";"17,1";"18,3";"17,1";"943,7";"944,8";"943,7";"4,2";"30,0";"7,5";"2761,60";"0,0"
