cod_estac;"﻿""Data""";Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm)
A544;01/01/2024;0000;22,8;23,3;22,6;82,0;86,0;80,0;19,5;20,3;19,5;910,2;910,2;909,7;0,5;236,0;1,7;;0,0
A544;01/01/2024;0100;22,3;22,8;22,2;84,0;85,0;81,0;19,4;19,6;19,3;910,9;910,9;910,2;0,6;236,0;2,7;;0,0
A544;01/01/2024;0200;22,2;22,4;22,0;84,0;85,0;83,0;19,4;19,4;19,2;911,4;911,4;910,9;0,6;236,0;2,4;;0,0
A544;01/01/2024;0300;22,5;22,7;22,2;81,0;84,0;80,0;19,0;19,4;19,0;911,1;911,5;911,1;2,1;236,0;3,5;;0,0
A544;01/01/2024;0400;22,4;22,6;22,3;81,0;82,0;80,0;19,0;19,1;19,0;910,7;911,1;910,7;2,3;236,0;3,6;;0,0
A544;01/01/2024;0500;22,5;22,5;22,1;80,0;83,0;80,0;19,0;19,1;19,0;910,2;910,7;910,2;2,2;236,0;3,6;;0,0
A544;01/01/2024;0600;21,6;22,5;21,6;84,0;84,0;80,0;18,8;19,0;18,8;909,7;910,2;909,7;2,2;236,0;4,2;;0,0
A544;01/01/2024;0700;21,2;21,6;21,1;84,0;86,0;84,0;18,5;18,9;18,5;909,2;909,7;909,2;1,8;236,0;3,1;;0,0
A544;01/01/2024;0800;20,5;21,2;20,5;85,0;85,0;83,0;18,0;18,5;17,9;909,6;909,6;909,1;0,1;236,0;2,9;;0,0
A544;01/01/2024;0900;20,6;21,0;20,5;88,0;88,0;85,0;18,5;18,6;18,0;909,8;909,8;909,5;1,2;236,0;3,4;11,20;0,0
A544;01/01/2024;1000;22,3;22,3;20,6;84,0;89,0;83,0;19,4;19,6;18,5;910,5;910,5;909,8;0,0;236,0;1,8;270,80;0,0
A544;01/01/2024;1100;23,7;23,7;22,3;79,0;85,0;75,0;19,9;20,0;19,0;911,2;911,2;910,5;1,7;236,0;2,9;876,10;0,0
A544;01/01/2024;1200;24,9;25,2;23,6;69,0;79,0;69,0;18,7;20,1;18,2;911,5;911,6;911,2;0,3;236,0;2,6;1372,80;0,0
A544;01/01/2024;1300;23,4;25,6;23,3;79,0;80,0;66,0;19,6;19,9;18,7;911,6;911,7;911,5;1,6;236,0;3,6;1013,90;0,0
A544;01/01/2024;1400;24,3;24,3;23,0;78,0;83,0;76,0;20,2;20,4;19,4;910,9;911,6;910,9;0,0;236,0;3,6;846,30;0,0
A544;01/01/2024;1500;25,0;25,0;24,0;78,0;82,0;73,0;20,9;21,4;19,3;910,2;911,0;910,1;1,3;236,0;3,3;1337,10;0,0
A544;01/01/2024;1600;23,7;24,9;22,6;82,0;89,0;74,0;20,5;21,7;18,9;909,0;910,3;909,0;2,2;236,0;5,2;1033,50;0,4
A544;01/01/2024;1700;27,2;27,2;23,8;68,0;83,0;67,0;20,8;22,3;20,2;908,0;909,0;907,8;1,3;236,0;3,5;3176,00;0,0
A544;01/01/2024;1800;24,9;27,3;24,9;75,0;75,0;67,0;20,1;22,1;19,2;907,9;908,0;907,5;1,6;236,0;4,8;1798,10;0,0
A544;01/01/2024;1900;22,1;24,9;22,1;89,0;89,0;74,0;20,2;20,3;19,5;908,0;908,2;907,7;0,9;236,0;6,3;155,00;0,4
A544;01/01/2024;2000;22,0;22,2;21,6;90,0;91,0;88,0;20,3;20,4;19,9;907,4;908,0;907,3;1,6;236,0;5,0;119,80;0,2
A544;01/01/2024;2100;22,3;22,8;22,0;88,0;90,0;85,0;20,2;20,7;19,9;907,9;908,0;907,4;1,6;236,0;4,5;341,70;0,0
A544;01/01/2024;2200;21,5;22,3;21,5;91,0;91,0;88,0;19,9;20,3;19,9;907,9;908,1;907,9;0,3;236,0;3,8;47,90;0,0
A544;01/01/2024;2300;21,7;21,8;21,4;89,0;91,0;89,0;19,8;20,2;19,8;909,3;909,3;907,9;0,5;236,0;2,6;;0,0
A544;02/01/2024;0000;21,8;21,8;21,6;91,0;91,0;89,0;20,2;20,2;19,8;909,8;909,8;909,3;0,1;236,0;2,0;;0,0
A544;02/01/2024;0100;19,5;21,9;19,1;93,0;93,0;87,0;18,4;20,4;18,0;910,6;910,7;909,8;2,6;236,0;7,6;1,70;24,0
A544;02/01/2024;0200;20,7;20,7;19,5;93,0;93,0;93,0;19,5;19,6;18,4;910,5;910,8;910,5;2,7;236,0;5,2;;3,0
A544;02/01/2024;0300;20,7;20,8;20,6;93,0;93,0;93,0;19,6;19,7;19,5;909,9;910,6;909,9;2,8;236,0;5,2;;2,0
A544;02/01/2024;0400;20,5;20,7;20,4;93,0;93,0;93,0;19,3;19,6;19,3;909,2;909,9;909,2;1,3;236,0;4,8;;0,0
A544;02/01/2024;0500;20,5;20,5;20,4;92,0;93,0;92,0;19,2;19,4;19,1;908,7;909,2;908,7;1,2;236,0;3,5;;0,0
A544;02/01/2024;0600;20,7;20,7;20,5;92,0;92,0;91,0;19,3;19,3;19,1;908,7;908,8;908,7;0,3;236,0;3,2;;0,0
A544;02/01/2024;0700;20,7;20,8;20,6;92,0;92,0;91,0;19,3;19,3;19,2;908,6;908,8;908,6;1,3;236,0;3,2;;0,0
A544;02/01/2024;0800;20,6;20,8;20,6;92,0;92,0;91,0;19,2;19,3;19,2;908,8;908,8;908,5;0,5;236,0;4,3;;0,2
A544;02/01/2024;0900;20,6;20,6;20,5;92,0;92,0;92,0;19,2;19,3;19,1;909,3;909,3;908,7;0,6;236,0;2,1;8,30;0,2
A544;02/01/2024;1000;20,9;20,9;20,6;93,0;93,0;91,0;19,6;19,7;19,2;909,6;909,6;909,3;0,6;236,0;2,6;173,10;0,2
A544;02/01/2024;1100;22,4;22,4;20,9;90,0;93,0;90,0;20,6;20,6;19,6;909,7;909,7;909,6;0,8;236,0;3,3;573,40;0,0
A544;02/01/2024;1200;23,2;23,7;22,3;83,0;90,0;81,0;20,2;20,7;19,7;909,7;909,7;909,6;2,3;236,0;4,4;1388,30;0,0
A544;02/01/2024;1300;24,1;24,1;23,2;79,0;83,0;78,0;20,2;20,7;19,6;910,0;910,0;909,7;1,4;236,0;4,8;1350,90;0,0
A544;02/01/2024;1400;24,6;24,7;23,9;77,0;79,0;72,0;20,2;20,4;18,9;909,6;910,0;909,6;1,1;236,0;4,0;1587,40;0,0
A544;02/01/2024;1500;25,2;25,5;24,2;69,0;78,0;69,0;19,2;20,9;19,2;908,7;909,6;908,7;2,6;236,0;5,2;1678,60;0,0
A544;02/01/2024;1600;27,2;28,2;25,1;61,0;72,0;59,0;19,0;20,3;18,3;907,7;908,7;907,7;2,1;236,0;5,8;3356,40;0,0
A544;02/01/2024;1700;28,8;28,9;27,1;52,0;62,0;50,0;18,1;20,3;16,9;906,9;907,7;906,9;3,2;236,0;7,2;3081,30;0,0
A544;02/01/2024;1800;25,0;28,8;24,8;77,0;78,0;49,0;20,8;22,2;16,7;906,5;906,9;906,5;2,8;236,0;6,5;1618,90;0,0
A544;02/01/2024;1900;20,7;25,0;20,5;93,0;93,0;76,0;19,5;21,0;18,2;906,6;906,9;906,1;0,9;236,0;11,5;294,80;13,0
A544;02/01/2024;2000;22,5;22,6;20,7;91,0;93,0;91,0;21,0;21,2;19,6;906,2;906,6;906,2;0,0;236,0;2,1;524,80;0,4
A544;02/01/2024;2100;22,5;22,6;22,3;91,0;92,0;90,0;21,0;21,1;20,7;906,8;906,8;906,2;0,3;236,0;2,3;263,80;0,0
A544;02/01/2024;2200;21,4;22,6;21,4;92,0;92,0;91,0;20,0;21,1;20,0;907,6;907,6;906,7;0,0;236,0;2,9;56,50;0,0
A544;02/01/2024;2300;21,4;21,6;21,4;92,0;92,0;91,0;20,0;20,2;19,9;908,5;908,5;907,6;0,4;236,0;1,3;;0,0
A544;03/01/2024;0000;21,3;21,5;21,3;91,0;92,0;91,0;19,8;20,1;19,8;908,9;909,0;908,5;0,6;236,0;1,6;;0,0
A544;03/01/2024;0100;21,3;21,5;21,2;92,0;92,0;91,0;20,0;20,0;19,8;909,3;909,3;908,8;1,5;236,0;3,9;;5,0
A544;03/01/2024;0200;21,3;21,3;21,1;92,0;93,0;92,0;20,0;20,1;19,9;909,2;909,3;909,1;2,3;236,0;3,6;;3,6
A544;03/01/2024;0300;21,4;21,5;21,2;91,0;93,0;91,0;19,8;20,1;19,8;908,9;909,2;908,9;3,5;236,0;5,6;0,20;0,0
A544;03/01/2024;0400;21,2;21,4;21,0;92,0;93,0;91,0;19,8;19,9;19,7;908,6;908,9;908,6;5,0;236,0;9,5;0,70;3,2
A544;03/01/2024;0500;20,4;21,2;20,3;92,0;92,0;91,0;19,1;19,7;18,9;907,9;908,6;907,9;5,2;236,0;11,3;1,00;3,4
A544;03/01/2024;0600;20,5;20,5;20,3;92,0;92,0;92,0;19,2;19,2;19,0;907,8;907,9;907,6;3,4;236,0;7,9;;1,0
A544;03/01/2024;0700;20,6;20,6;20,5;92,0;92,0;92,0;19,2;19,2;19,1;908,0;908,0;907,7;3,7;236,0;7,0;;0,4
A544;03/01/2024;0800;20,6;20,7;20,5;92,0;92,0;91,0;19,3;19,3;19,1;908,4;908,4;908,0;3,8;236,0;6,3;;0,4
A544;03/01/2024;0900;20,6;20,7;20,5;92,0;92,0;92,0;19,2;19,3;19,1;909,0;909,0;908,4;2,3;236,0;5,7;4,00;0,2
A544;03/01/2024;1000;21,0;21,0;20,6;91,0;92,0;91,0;19,5;19,5;19,2;909,7;909,7;909,0;2,8;236,0;6,0;84,70;0,0
A544;03/01/2024;1100;20,9;21,3;20,9;88,0;91,0;87,0;18,9;19,5;18,9;910,2;910,2;909,7;3,8;236,0;8,6;277,90;0,0
